customer_id,name,email,phone,city,country
1,lisa johnson,patriciaschultz@example.org,-9893316156,Bryantside,Kenya
2,connor solis,smithbenjamin@example.com,-7251690869,ERICVILLE,Central African Republic
3,Benjamin Jacobson,chris80@example.net,-6698902419, Hamptonchester ,namibia
4,marissa woods,matthewjones@example.com,-9725610890,New Jamesfort,british virgin islands
5,NATALIE CHOI,cmcdonald@example.net,-8293183564, Duanestad ,SAINT PIERRE AND MIQUELON
6,CARRIE SANCHEZ,umoon@example.com,-7909090956,andersonmouth, Cocos (Keeling) Islands 
7,steven chandler,rrobertson@example.org,-8375253668,mariashire,belize
8, Latasha Wallace ,abigailburke@example.net,-9021042443,CHAMBERSBERG,BRAZIL
9,justin rodriguez,zachary55@example.org,-9916995188,Valeriefurt,united arab emirates
10,DAMON ADAMS,chelseasimpson@example.net,-9405291121,North Taylor, Netherlands Antilles 
11, Kyle Smith ,katherinegreene@example.net,-6005407910,Port Danielside,switzerland
12,MICHAEL HARRIS,mollyhobbs@example.com,-6643037850,PORT COLLEENTOWN,honduras
13, Edward Molina ,hnichols@example.com,-7333454377,BAILEYBERG,MOLDOVA
14,JENNIFER WOOD,anna44@example.com,-9560720943,Lake Devonstad,brunei darussalam
15,melissa allen,bfreeman@example.com,-9865437199,East Terriburgh,ECUADOR
16,Brett Munoz,roy67@example.net,-9111340848,diamondville,samoa
17, Tina Weber ,eric39@example.net,-7550919329, North Heidiborough ,Anguilla
18,cathy rios,sarahflores@example.net,-6002935264,Wernerstad,Senegal
19,NATALIE RODRIGUEZ,bgonzalez@example.org,-7583755644,Margaretburgh,aruba
20, Kathleen Orr ,kelly71@example.net,-9997965059,West Karen,Malaysia
21, Shawn Cox ,meyerashley@example.org,-9771250356,MEGANSIDE,tunisia
22, Steven Bean ,michael80@example.net,-9037236276, Bruceport ,Lao People's Democratic Republic
23,MICHAEL BEASLEY,camposamy@example.com,-9972073037, Hobbsview ,Botswana
24,RHONDA WILLIAMS,ramirezxavier@example.org,-8443288180,johnsonmouth,Paraguay
25, Dr. Julie Wolfe ,deleonrachel@example.net,-9210285669,new jordan,jersey
26, Yvette Moore ,rogerskevin@example.org,-9498072331,Austintown,Tanzania
27,david williams,toddgary@example.org,-6598629357,west cynthiatown,BURUNDI
28,lydia torres,davisjames@example.net,-7693340245,williamsville,ICELAND
